 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,MASK_Result of Tc140mfr305C001H001S005:S0005000002,20,255,0,255,255,255,368.700,6.600,368.700,6.600,39.355,364,1,8,11,7.302,3.487,69.367,0.162,11.180,5100,255,NaN,100,5100,2,364,11,63.435,5.852,2.094,0.478,0.354
2,MASK_Result of Tc140mfr305C001H001S005:S0005000002,10,255,0,255,255,255,405.900,3.900,405.900,3.900,21.213,403,1,6,5,4.513,2.821,146.034,0.279,6.708,2550,255,NaN,100,2550,2,403,3,153.435,4.243,1.599,0.625,0.500
3,MASK_Result of Tc140mfr305C001H001S005:S0005000002,14,255,0,255,255,255,422.286,4.500,422.286,4.500,22.971,420,1,5,7,5.011,3.557,107.111,0.333,7.211,3570,255,NaN,100,3570,2,421,1,123.690,4.919,1.409,0.710,0.519
4,MASK_Result of Tc140mfr305C001H001S005:S0005000002,11,255,0,255,255,255,548.864,4.500,548.864,4.500,19.799,546,1,5,7,6.608,2.120,60.609,0.353,8.062,2805,255,NaN,100,2805,2,546,8,60.255,3.578,3.117,0.321,0.524
5,MASK_Result of Tc140mfr305C001H001S005:S0005000002,10,255,0,255,255,255,195.800,4.200,195.800,4.200,26.042,193,2,6,5,3.931,3.239,0.716,0.185,6.403,2550,255,NaN,100,2550,2,194,7,38.660,5.000,1.214,0.824,0.435
6,MASK_Result of Tc140mfr305C001H001S005:S0005000002,47,255,0,255,255,255,258.245,9.862,258.245,9.862,82.953,248,2,17,14,11.034,5.423,31.706,0.086,20.000,11985,255,NaN,100,11985,2,248,15,36.870,11.637,2.035,0.491,0.316
7,MASK_Result of Tc140mfr305C001H001S005:S0005000002,13,255,0,255,255,255,272.808,5.192,272.808,5.192,28.627,270,2,8,6,5.680,2.914,175.547,0.199,8.944,3315,255,NaN,100,3315,2,270,2,153.435,5.909,1.949,0.513,0.426
8,MASK_Result of Tc140mfr305C001H001S005:S0005000002,19,255,0,255,255,255,347.079,7.289,347.079,7.289,30.627,344,2,6,9,7.053,3.430,92.960,0.255,9.849,4845,255,NaN,100,4845,2,346,2,113.962,5.883,2.056,0.486,0.481
9,MASK_Result of Tc140mfr305C001H001S005:S0005000002,20,255,0,255,255,255,354.950,5.750,354.950,5.750,39.355,350,2,11,7,7.403,3.440,10.040,0.162,11.402,5100,255,NaN,100,5100,2,350,8,15.255,6.325,2.152,0.465,0.385
10,MASK_Result of Tc140mfr305C001H001S005:S0005000002,52,255,0,255,255,255,387.596,10.404,387.596,10.404,100.024,376,3,22,15,12.146,5.451,27.399,0.065,22.204,13260,255,NaN,100,13260,2,376,15,7.765,12.333,2.228,0.449,0.277
11,MASK_Result of Tc140mfr305C001H001S005:S0005000002,21,255,0,255,255,255,442.214,7.833,442.214,7.833,45.355,438,3,8,10,5.713,4.680,42.649,0.128,10.440,5355,255,NaN,100,5355,2,443,13,73.301,8.000,1.221,0.819,0.362
12,MASK_Result of Tc140mfr305C001H001S005:S0005000002,10,255,0,255,255,255,661.300,6.500,661.300,6.500,21.556,659,3,4,6,5.088,2.502,106.003,0.270,6.708,2550,255,NaN,100,2550,2,660,3,116.565,3.638,2.033,0.492,0.526
13,MASK_Result of Tc140mfr305C001H001S005:S0005000002,10,255,0,255,255,255,200.400,7.000,200.400,7.000,21.799,198,4,4,6,4.868,2.615,77.668,0.264,6.403,2550,255,NaN,100,2550,2,198,9,51.340,4.000,1.861,0.537,0.541
14,MASK_Result of Tc140mfr305C001H001S005:S0005000002,17,255,0,255,255,255,292.618,8.324,292.618,8.324,30.042,289,4,6,8,5.911,3.662,113.350,0.237,8.944,4335,255,NaN,100,4335,2,291,4,116.565,5.270,1.614,0.619,0.507
15,MASK_Result of Tc140mfr305C001H001S005:S0005000002,30,255,0,255,255,255,454.533,8.600,454.533,8.600,63.983,450,4,10,10,8.521,4.483,52.154,0.092,12.806,7650,255,NaN,100,7650,2,450,13,38.660,8.232,1.901,0.526,0.408
16,MASK_Result of Tc140mfr305C001H001S005:S0005000002,10,255,0,255,255,255,525.200,6.000,525.200,6.000,16.142,522,4,6,4,4.787,2.660,158.260,0.482,6.083,2550,255,NaN,100,2550,2,522,5,170.538,3.795,1.800,0.556,0.571
17,MASK_Result of Tc140mfr305C001H001S005:S0005000002,58,255,0,255,255,255,466.207,10.948,466.207,10.948,102.610,457,5,19,11,12.199,6.054,0.020,0.069,19.105,14790,255,NaN,100,14790,2,457,12,173.991,10.771,2.015,0.496,0.374
18,MASK_Result of Tc140mfr305C001H001S005:S0005000002,13,255,0,255,255,255,541.654,9.346,541.654,9.346,28.042,540,5,5,8,5.344,3.097,94.695,0.208,8.246,3315,255,NaN,100,3315,2,540,13,75.964,5.000,1.725,0.580,0.448
19,MASK_Result of Tc140mfr305C001H001S005:S0005000002,14,255,0,255,255,255,507.143,11.714,507.143,11.714,30.870,504,8,6,7,5.495,3.244,121.112,0.185,9.220,3570,255,NaN,100,3570,2,504,8,130.601,5.578,1.694,0.590,0.424
20,MASK_Result of Tc140mfr305C001H001S005:S0005000002,13,255,0,255,255,255,303.654,12.346,303.654,12.346,20.971,300,9,7,6,4.825,3.430,154.694,0.371,7.616,3315,255,NaN,100,3315,2,300,12,156.801,5.336,1.407,0.711,0.510
21,MASK_Result of Tc140mfr305C001H001S005:S0005000002,16,255,0,255,255,255,486.000,14.312,486.000,14.312,33.456,483,9,6,9,7.023,2.901,67.746,0.180,10.296,4080,255,NaN,100,4080,2,483,18,60.945,5.590,2.421,0.413,0.372
22,MASK_Result of Tc140mfr305C001H001S005:S0005000002,18,255,0,255,255,255,428.389,13.111,428.389,13.111,23.799,425,10,7,7,7.702,2.976,126.592,0.399,9.220,4590,255,NaN,100,4590,2,425,10,130.601,4.116,2.589,0.386,0.600
23,MASK_Result of Tc140mfr305C001H001S005:S0005000002,20,255,0,255,255,255,336.650,14.350,336.650,14.350,26.385,333,11,8,7,5.607,4.541,131.060,0.361,8.944,5100,255,NaN,100,5100,2,333,11,153.435,7.000,1.235,0.810,0.494
24,MASK_Result of Tc140mfr305C001H001S005:S0005000002,10,255,0,255,255,255,359.200,15.200,359.200,15.200,23.799,357,11,4,8,5.676,2.243,78.152,0.222,8.246,2550,255,NaN,100,2550,2,358,19,75.964,4.000,2.530,0.395,0.417
25,MASK_Result of Tc140mfr305C001H001S005:S0005000002,16,255,0,255,255,255,494.938,15.312,494.938,15.312,33.698,490,11,10,8,8.667,2.351,139.402,0.177,12.207,4080,255,NaN,100,4080,2,490,11,145.008,4.225,3.687,0.271,0.405
26,MASK_Result of Tc140mfr305C001H001S005:S0005000002,11,255,0,255,255,255,440.409,16.773,440.409,16.773,25.213,439,12,3,9,6.521,2.148,93.970,0.217,9.055,2805,255,NaN,100,2805,2,439,12,96.340,3.000,3.036,0.329,0.478
27,MASK_Result of Tc140mfr305C001H001S005:S0005000002,19,255,0,255,255,255,310.289,17.026,310.289,17.026,32.870,306,13,8,8,7.080,3.417,52.221,0.221,9.434,4845,255,NaN,100,4845,2,306,19,32.005,5.657,2.072,0.483,0.494
28,MASK_Result of Tc140mfr305C001H001S005:S0005000002,12,255,0,255,255,255,366.917,16.583,366.917,16.583,26.627,365,13,4,8,5.840,2.616,93.780,0.213,8.246,3060,255,NaN,100,3060,2,366,13,104.036,4.000,2.232,0.448,0.421
29,MASK_Result of Tc140mfr305C001H001S005:S0005000002,12,255,0,255,255,255,268.583,16.333,268.583,16.333,25.213,266,14,7,4,5.200,2.939,179.694,0.237,7.616,3060,255,NaN,100,3060,2,266,14,156.801,4.000,1.769,0.565,0.511
30,MASK_Result of Tc140mfr305C001H001S005:S0005000002,12,255,0,255,255,255,346.500,17.167,346.500,17.167,20.142,344,14,4,6,5.587,2.735,78.643,0.372,6.708,3060,255,NaN,100,3060,2,345,20,63.435,4.000,2.043,0.490,0.600
31,MASK_Result of Tc140mfr305C001H001S005:S0005000002,10,255,0,255,255,255,264.700,27.000,264.700,27.000,18.142,263,24,4,6,4.517,2.819,125.355,0.382,6.708,2550,255,NaN,100,2550,2,263,24,116.565,4.000,1.602,0.624,0.556
32,MASK_Result of Tc140mfr305C001H001S005:S0005000002,13,255,0,255,255,255,523.192,30.038,523.192,30.038,30.627,521,26,6,7,4.589,3.607,131.171,0.174,8.062,3315,255,NaN,100,3315,2,521,26,119.745,6.000,1.272,0.786,0.413
33,MASK_Result of Tc140mfr305C001H001S005:S0005000002,22,255,0,255,255,255,207.273,30.045,207.273,30.045,46.184,201,27,13,6,9.214,3.040,9.676,0.130,13.601,5610,255,NaN,100,5610,2,201,33,17.103,5.672,3.031,0.330,0.361
34,MASK_Result of Tc140mfr305C001H001S005:S0005000002,14,255,0,255,255,255,636.571,38.500,636.571,38.500,35.941,633,33,7,11,8.779,2.031,63.089,0.136,12.207,3570,255,NaN,100,3570,2,633,43,55.008,3.578,4.323,0.231,0.373
35,MASK_Result of Tc140mfr305C001H001S005:S0005000002,10,255,0,255,255,255,457.100,36.500,457.100,36.500,21.213,454,34,5,5,4.022,3.165,43.569,0.279,5.831,2550,255,NaN,100,2550,2,454,37,30.964,4.438,1.271,0.787,0.526
36,MASK_Result of Tc140mfr305C001H001S005:S0005000002,16,255,0,255,255,255,762.312,38.812,762.312,38.812,30.870,759,35,6,8,6.641,3.068,120.339,0.211,9.434,4080,255,NaN,100,4080,2,760,35,122.005,4.950,2.165,0.462,0.471
37,MASK_Result of Tc140mfr305C001H001S005:S0005000002,10,255,0,255,255,255,658.900,40.100,658.900,40.100,20.971,655,38,7,4,5.143,2.476,167.492,0.286,7.280,2550,255,NaN,100,2550,2,655,39,164.055,4.000,2.077,0.481,0.488
38,MASK_Result of Tc140mfr305C001H001S005:S0005000002,21,255,0,255,255,255,588.214,42.976,588.214,42.976,38.870,582,39,14,6,9.532,2.805,162.246,0.175,14.142,5355,255,NaN,100,5355,2,582,43,171.870,5.687,3.398,0.294,0.412
39,MASK_Result of Tc140mfr305C001H001S005:S0005000002,10,255,0,255,255,255,727.700,41.300,727.700,41.300,16.971,725,39,5,5,4.177,3.048,51.132,0.436,5.831,2550,255,NaN,100,2550,2,725,42,30.964,4.608,1.370,0.730,0.556
40,MASK_Result of Tc140mfr305C001H001S005:S0005000002,10,255,0,255,255,255,326.700,43.700,326.700,43.700,21.213,323,41,7,5,5.945,2.142,31.325,0.279,8.062,2550,255,NaN,100,2550,2,323,46,29.745,3.536,2.776,0.360,0.488
41,MASK_Result of Tc140mfr305C001H001S005:S0005000002,36,255,0,255,255,255,424.556,51.194,424.556,51.194,75.397,417,43,13,14,9.237,4.962,48.220,0.080,15.620,9180,255,NaN,100,9180,2,417,53,39.806,10.202,1.861,0.537,0.344
42,MASK_Result of Tc140mfr305C001H001S005:S0005000002,11,255,0,255,255,255,651.045,47.318,651.045,47.318,18.142,648,45,6,5,6.288,2.227,155.955,0.420,7.211,2805,255,NaN,100,2805,2,648,46,146.310,3.528,2.823,0.354,0.537
43,MASK_Result of Tc140mfr305C001H001S005:S0005000002,15,255,0,255,255,255,681.900,48.433,681.900,48.433,29.213,677,47,10,3,8.605,2.220,178.210,0.221,10.198,3825,255,NaN,100,3825,2,677,47,168.690,3.000,3.877,0.258,0.517
